"ICD10_code";"ICD10_code_dot";"diagnosis";"code_description"
"L00";"L00";"Staphylococcal scalded skin syndrome";"L00 Staphylococcal scalded skin syndrome"
"L01";"L01";"Impetigo";"L01 Impetigo"
"L02";"L02";"Cutaneous abscess, furuncle and carbuncle";"L02 Cutaneous abscess, furuncle and carbuncle"
"L03";"L03";"Cellulitis and acute lymphangitis";"L03 Cellulitis and acute lymphangitis"
"L04";"L04";"Acute lymphadenitis";"L04 Acute lymphadenitis"
"L05";"L05";"Pilonidal cyst and sinus";"L05 Pilonidal cyst and sinus"
"L08";"L08";"Other local infections of skin and subcutaneous tissue";"L08 Other local infections of skin and subcutaneous tissue"
"L10";"L10";"Pemphigus";"L10 Pemphigus"
"L11";"L11";"Other acantholytic disorders";"L11 Other acantholytic disorders"
"L12";"L12";"Pemphigoid";"L12 Pemphigoid"
"L13";"L13";"Other bullous disorders";"L13 Other bullous disorders"
"L14";"L14";"Bullous disorders in diseases classified elsewhere";"L14 Bullous disorders in diseases classified elsewhere"
"L20";"L20";"Atopic dermatitis";"L20 Atopic dermatitis"
"L21";"L21";"Seborrheic dermatitis";"L21 Seborrheic dermatitis"
"L22";"L22";"Diaper dermatitis";"L22 Diaper dermatitis"
"L23";"L23";"Allergic contact dermatitis";"L23 Allergic contact dermatitis"
"L24";"L24";"Irritant contact dermatitis";"L24 Irritant contact dermatitis"
"L25";"L25";"Unspecified contact dermatitis";"L25 Unspecified contact dermatitis"
"L26";"L26";"Exfoliative dermatitis";"L26 Exfoliative dermatitis"
"L27";"L27";"Dermatitis due to substances taken internally";"L27 Dermatitis due to substances taken internally"
"L28";"L28";"Lichen simplex chronicus and prurigo";"L28 Lichen simplex chronicus and prurigo"
"L29";"L29";"Pruritus";"L29 Pruritus"
"L30";"L30";"Other and unspecified dermatitis";"L30 Other and unspecified dermatitis"
"L40";"L40";"Psoriasis";"L40 Psoriasis"
"L41";"L41";"Parapsoriasis";"L41 Parapsoriasis"
"L42";"L42";"Pityriasis rosea";"L42 Pityriasis rosea"
"L43";"L43";"Lichen planus";"L43 Lichen planus"
"L44";"L44";"Other papulosquamous disorders";"L44 Other papulosquamous disorders"
"L45";"L45";"Papulosquamous disorders in diseases classified elsewhere";"L45 Papulosquamous disorders in diseases classified elsewhere"
"L49";"L49";"Exfoliatn due to erythemat cond accord extent body involv";"L49 Exfoliatn due to erythemat cond accord extent body involv"
"L50";"L50";"Urticaria";"L50 Urticaria"
"L51";"L51";"Erythema multiforme";"L51 Erythema multiforme"
"L52";"L52";"Erythema nodosum";"L52 Erythema nodosum"
"L53";"L53";"Other erythematous conditions";"L53 Other erythematous conditions"
"L54";"L54";"Erythema in diseases classified elsewhere";"L54 Erythema in diseases classified elsewhere"
"L55";"L55";"Sunburn";"L55 Sunburn"
"L56";"L56";"Other acute skin changes due to ultraviolet radiation";"L56 Other acute skin changes due to ultraviolet radiation"
"L57";"L57";"Skin changes due to chronic expsr to nonionizing radiation";"L57 Skin changes due to chronic expsr to nonionizing radiation"
"L58";"L58";"Radiodermatitis";"L58 Radiodermatitis"
"L59";"L59";"Oth disorders of skin, subcu related to radiation";"L59 Oth disorders of skin, subcu related to radiation"
"L60";"L60";"Nail disorders";"L60 Nail disorders"
"L62";"L62";"Nail disorders in diseases classified elsewhere";"L62 Nail disorders in diseases classified elsewhere"
"L63";"L63";"Alopecia areata";"L63 Alopecia areata"
"L64";"L64";"Androgenic alopecia";"L64 Androgenic alopecia"
"L65";"L65";"Other nonscarring hair loss";"L65 Other nonscarring hair loss"
"L66";"L66";"Cicatricial alopecia [scarring hair loss]";"L66 Cicatricial alopecia [scarring hair loss]"
"L67";"L67";"Hair color and hair shaft abnormalities";"L67 Hair color and hair shaft abnormalities"
"L68";"L68";"Hypertrichosis";"L68 Hypertrichosis"
"L70";"L70";"Acne";"L70 Acne"
"L71";"L71";"Rosacea";"L71 Rosacea"
"L72";"L72";"Follicular cysts of skin and subcutaneous tissue";"L72 Follicular cysts of skin and subcutaneous tissue"
"L73";"L73";"Other follicular disorders";"L73 Other follicular disorders"
"L74";"L74";"Eccrine sweat disorders";"L74 Eccrine sweat disorders"
"L75";"L75";"Apocrine sweat disorders";"L75 Apocrine sweat disorders"
"L76";"L76";"Intraop and postprocedural complications of skin, subcu";"L76 Intraop and postprocedural complications of skin, subcu"
"L80";"L80";"Vitiligo";"L80 Vitiligo"
"L81";"L81";"Other disorders of pigmentation";"L81 Other disorders of pigmentation"
"L82";"L82";"Seborrheic keratosis";"L82 Seborrheic keratosis"
"L83";"L83";"Acanthosis nigricans";"L83 Acanthosis nigricans"
"L84";"L84";"Corns and callosities";"L84 Corns and callosities"
"L85";"L85";"Other epidermal thickening";"L85 Other epidermal thickening"
"L86";"L86";"Keratoderma in diseases classified elsewhere";"L86 Keratoderma in diseases classified elsewhere"
"L87";"L87";"Transepidermal elimination disorders";"L87 Transepidermal elimination disorders"
"L88";"L88";"Pyoderma gangrenosum";"L88 Pyoderma gangrenosum"
"L89";"L89";"Pressure ulcer";"L89 Pressure ulcer"
"L90";"L90";"Atrophic disorders of skin";"L90 Atrophic disorders of skin"
"L91";"L91";"Hypertrophic disorders of skin";"L91 Hypertrophic disorders of skin"
"L92";"L92";"Granulomatous disorders of skin and subcutaneous tissue";"L92 Granulomatous disorders of skin and subcutaneous tissue"
"L93";"L93";"Lupus erythematosus";"L93 Lupus erythematosus"
"L94";"L94";"Other localized connective tissue disorders";"L94 Other localized connective tissue disorders"
"L95";"L95";"Vasculitis limited to skin, not elsewhere classified";"L95 Vasculitis limited to skin, not elsewhere classified"
"L97";"L97";"Non-pressure chronic ulcer of lower limb, NEC";"L97 Non-pressure chronic ulcer of lower limb, NEC"
"L98";"L98";"Oth disorders of skin, subcu, not elsewhere classified";"L98 Oth disorders of skin, subcu, not elsewhere classified"
"L99";"L99";"Oth disorders of skin, subcu in diseases classd elswhr";"L99 Oth disorders of skin, subcu in diseases classd elswhr"
"M00";"M00";"Pyogenic arthritis";"M00 Pyogenic arthritis"
"M01";"M01";"Direct infect of joint in infec/parastc dis classd elswhr";"M01 Direct infect of joint in infec/parastc dis classd elswhr"
"M02";"M02";"Postinfective and reactive arthropathies";"M02 Postinfective and reactive arthropathies"
"M04";"M04";"Autoinflammatory syndromes";"M04 Autoinflammatory syndromes"
"M05";"M05";"Rheumatoid arthritis with rheumatoid factor";"M05 Rheumatoid arthritis with rheumatoid factor"
"M06";"M06";"Other rheumatoid arthritis";"M06 Other rheumatoid arthritis"
"M07";"M07";"Enteropathic arthropathies";"M07 Enteropathic arthropathies"
"M08";"M08";"Juvenile arthritis";"M08 Juvenile arthritis"
"M1A";"M1A";"Chronic gout";"M1A Chronic gout"
"M10";"M10";"Gout";"M10 Gout"
"M11";"M11";"Other crystal arthropathies";"M11 Other crystal arthropathies"
"M12";"M12";"Other and unspecified arthropathy";"M12 Other and unspecified arthropathy"
"M13";"M13";"Other arthritis";"M13 Other arthritis"
"M14";"M14";"Arthropathies in other diseases classified elsewhere";"M14 Arthropathies in other diseases classified elsewhere"
"M15";"M15";"Polyosteoarthritis";"M15 Polyosteoarthritis"
"M16";"M16";"Osteoarthritis of hip";"M16 Osteoarthritis of hip"
"M17";"M17";"Osteoarthritis of knee";"M17 Osteoarthritis of knee"
"M18";"M18";"Osteoarthritis of first carpometacarpal joint";"M18 Osteoarthritis of first carpometacarpal joint"
"M19";"M19";"Other and unspecified osteoarthritis";"M19 Other and unspecified osteoarthritis"
"M20";"M20";"Acquired deformities of fingers and toes";"M20 Acquired deformities of fingers and toes"
"M21";"M21";"Other acquired deformities of limbs";"M21 Other acquired deformities of limbs"
"M22";"M22";"Disorder of patella";"M22 Disorder of patella"
"M23";"M23";"Internal derangement of knee";"M23 Internal derangement of knee"
"M24";"M24";"Other specific joint derangements";"M24 Other specific joint derangements"
"M25";"M25";"Other joint disorder, not elsewhere classified";"M25 Other joint disorder, not elsewhere classified"
"M26";"M26";"Dentofacial anomalies [including malocclusion]";"M26 Dentofacial anomalies [including malocclusion]"
"M27";"M27";"Other diseases of jaws";"M27 Other diseases of jaws"
"M30";"M30";"Polyarteritis nodosa and related conditions";"M30 Polyarteritis nodosa and related conditions"
"M31";"M31";"Other necrotizing vasculopathies";"M31 Other necrotizing vasculopathies"
"M32";"M32";"Systemic lupus erythematosus (SLE)";"M32 Systemic lupus erythematosus (SLE)"
"M33";"M33";"Dermatopolymyositis";"M33 Dermatopolymyositis"
"M34";"M34";"Systemic sclerosis [scleroderma]";"M34 Systemic sclerosis [scleroderma]"
"M35";"M35";"Other systemic involvement of connective tissue";"M35 Other systemic involvement of connective tissue"
"M36";"M36";"Systemic disorders of conn tiss in diseases classd elswhr";"M36 Systemic disorders of conn tiss in diseases classd elswhr"
"M40";"M40";"Kyphosis and lordosis";"M40 Kyphosis and lordosis"
"M41";"M41";"Scoliosis";"M41 Scoliosis"
"M42";"M42";"Spinal osteochondrosis";"M42 Spinal osteochondrosis"
"M43";"M43";"Other deforming dorsopathies";"M43 Other deforming dorsopathies"
"M45";"M45";"Ankylosing spondylitis";"M45 Ankylosing spondylitis"
"M46";"M46";"Other inflammatory spondylopathies";"M46 Other inflammatory spondylopathies"
"M47";"M47";"Spondylosis";"M47 Spondylosis"
"M48";"M48";"Other spondylopathies";"M48 Other spondylopathies"
"M49";"M49";"Spondylopathies in diseases classified elsewhere";"M49 Spondylopathies in diseases classified elsewhere"
"M50";"M50";"Cervical disc disorders";"M50 Cervical disc disorders"
"M51";"M51";"Thoracic, thoracolum, and lumbosacral intvrt disc disorders";"M51 Thoracic, thoracolum, and lumbosacral intvrt disc disorders"
"M53";"M53";"Other and unspecified dorsopathies, not elsewhere classified";"M53 Other and unspecified dorsopathies, not elsewhere classified"
"M54";"M54";"Dorsalgia";"M54 Dorsalgia"
"M60";"M60";"Myositis";"M60 Myositis"
"M61";"M61";"Calcification and ossification of muscle";"M61 Calcification and ossification of muscle"
"M62";"M62";"Other disorders of muscle";"M62 Other disorders of muscle"
"M63";"M63";"Disorders of muscle in diseases classified elsewhere";"M63 Disorders of muscle in diseases classified elsewhere"
"M65";"M65";"Synovitis and tenosynovitis";"M65 Synovitis and tenosynovitis"
"M66";"M66";"Spontaneous rupture of synovium and tendon";"M66 Spontaneous rupture of synovium and tendon"
"M67";"M67";"Other disorders of synovium and tendon";"M67 Other disorders of synovium and tendon"
"M70";"M70";"Soft tissue disorders related to use, overuse and pressure";"M70 Soft tissue disorders related to use, overuse and pressure"
"M71";"M71";"Other bursopathies";"M71 Other bursopathies"
"M72";"M72";"Fibroblastic disorders";"M72 Fibroblastic disorders"
"M75";"M75";"Shoulder lesions";"M75 Shoulder lesions"
"M76";"M76";"Enthesopathies, lower limb, excluding foot";"M76 Enthesopathies, lower limb, excluding foot"
"M77";"M77";"Other enthesopathies";"M77 Other enthesopathies"
"M79";"M79";"Oth and unsp soft tissue disorders, not elsewhere classified";"M79 Oth and unsp soft tissue disorders, not elsewhere classified"
"M80";"M80";"Osteoporosis with current pathological fracture";"M80 Osteoporosis with current pathological fracture"
"M81";"M81";"Osteoporosis without current pathological fracture";"M81 Osteoporosis without current pathological fracture"
"M83";"M83";"Adult osteomalacia";"M83 Adult osteomalacia"
"M84";"M84";"Disorder of continuity of bone";"M84 Disorder of continuity of bone"
"M85";"M85";"Other disorders of bone density and structure";"M85 Other disorders of bone density and structure"
"M86";"M86";"Osteomyelitis";"M86 Osteomyelitis"
"M87";"M87";"Osteonecrosis";"M87 Osteonecrosis"
"M88";"M88";"Osteitis deformans [Paget's disease of bone]";"M88 Osteitis deformans [Paget's disease of bone]"
"M89";"M89";"Other disorders of bone";"M89 Other disorders of bone"
"M90";"M90";"Osteopathies in diseases classified elsewhere";"M90 Osteopathies in diseases classified elsewhere"
"M91";"M91";"Juvenile osteochondrosis of hip and pelvis";"M91 Juvenile osteochondrosis of hip and pelvis"
"M92";"M92";"Other juvenile osteochondrosis";"M92 Other juvenile osteochondrosis"
"M93";"M93";"Other osteochondropathies";"M93 Other osteochondropathies"
"M94";"M94";"Other disorders of cartilage";"M94 Other disorders of cartilage"
"M95";"M95";"Oth acquired deformities of ms sys and connective tissue";"M95 Oth acquired deformities of ms sys and connective tissue"
"M96";"M96";"Intraop and postproc comp and disorders of ms sys, NEC";"M96 Intraop and postproc comp and disorders of ms sys, NEC"
"M97";"M97";"Periprosthetic fracture around internal prosthetic joint";"M97 Periprosthetic fracture around internal prosthetic joint"
"M99";"M99";"Biomechanical lesions, not elsewhere classified";"M99 Biomechanical lesions, not elsewhere classified"
"N00";"N00";"Acute nephritic syndrome";"N00 Acute nephritic syndrome"
"N01";"N01";"Rapidly progressive nephritic syndrome";"N01 Rapidly progressive nephritic syndrome"
"N02";"N02";"Recurrent and persistent hematuria";"N02 Recurrent and persistent hematuria"
"N03";"N03";"Chronic nephritic syndrome";"N03 Chronic nephritic syndrome"
"N04";"N04";"Nephrotic syndrome";"N04 Nephrotic syndrome"
"N05";"N05";"Unspecified nephritic syndrome";"N05 Unspecified nephritic syndrome"
"N06";"N06";"Isolated proteinuria with specified morphological lesion";"N06 Isolated proteinuria with specified morphological lesion"
"N07";"N07";"Hereditary nephropathy, not elsewhere classified";"N07 Hereditary nephropathy, not elsewhere classified"
"N08";"N08";"Glomerular disorders in diseases classified elsewhere";"N08 Glomerular disorders in diseases classified elsewhere"
"N10";"N10";"Acute pyelonephritis";"N10 Acute pyelonephritis"
"N11";"N11";"Chronic tubulo-interstitial nephritis";"N11 Chronic tubulo-interstitial nephritis"
"N12";"N12";"Tubulo-interstitial nephritis, not spcf as acute or chronic";"N12 Tubulo-interstitial nephritis, not spcf as acute or chronic"
"N13";"N13";"Obstructive and reflux uropathy";"N13 Obstructive and reflux uropathy"
"N14";"N14";"Drug- & heavy-metal-induced tubulo-interstitial & tublr cond";"N14 Drug- & heavy-metal-induced tubulo-interstitial & tublr cond"
"N15";"N15";"Other renal tubulo-interstitial diseases";"N15 Other renal tubulo-interstitial diseases"
"N16";"N16";"Renal tubulo-interstitial disord in diseases classd elswhr";"N16 Renal tubulo-interstitial disord in diseases classd elswhr"
"N17";"N17";"Acute kidney failure";"N17 Acute kidney failure"
"N18";"N18";"Chronic kidney disease (CKD)";"N18 Chronic kidney disease (CKD)"
"N19";"N19";"Unspecified kidney failure";"N19 Unspecified kidney failure"
"N20";"N20";"Calculus of kidney and ureter";"N20 Calculus of kidney and ureter"
"N21";"N21";"Calculus of lower urinary tract";"N21 Calculus of lower urinary tract"
"N22";"N22";"Calculus of urinary tract in diseases classified elsewhere";"N22 Calculus of urinary tract in diseases classified elsewhere"
"N23";"N23";"Unspecified renal colic";"N23 Unspecified renal colic"
"N25";"N25";"Disorders resulting from impaired renal tubular function";"N25 Disorders resulting from impaired renal tubular function"
"N26";"N26";"Unspecified contracted kidney";"N26 Unspecified contracted kidney"
"N27";"N27";"Small kidney of unknown cause";"N27 Small kidney of unknown cause"
"N28";"N28";"Oth disorders of kidney and ureter, not elsewhere classified";"N28 Oth disorders of kidney and ureter, not elsewhere classified"
"N29";"N29";"Oth disorders of kidney and ureter in diseases classd elswhr";"N29 Oth disorders of kidney and ureter in diseases classd elswhr"
"N30";"N30";"Cystitis";"N30 Cystitis"
